artifact,version,created_at,sha256,status,public_release_candidate,notes
position_note/TRIM_HAA_position_note_claim_boundaries.csv,v0_2,2026-07-01T07:20:00+00:00,c572304686435fa73596b136aa5cea78f28fa9f7527de64cd0295fcf99188b87,draft,yes_after_review,Claim-boundary table for public-language review.
position_note/TRIM_HAA_position_note_publication_blockers.md,v0_2,2026-07-01T07:20:00+00:00,2649d4ca0378f37f131bf4b0539ef66c69a88d18234638f4ccc9b00cf597b8e9,draft,yes_after_review,Publication blockers must be resolved before release.
position_note/TRIM_HAA_position_note_v0_1.md,v0_2,2026-07-01T07:20:00+00:00,c543804518cc92cb056e24122bc90b0e92cd5634f7f1bf60c220ceaffd0b331d,draft,no,Working-paper draft; blockers unresolved.
position_note/TRIM_HAA_position_note_v0_1_review_response.md,v0_2,2026-07-01T07:20:00+00:00,2aed11ddba63d60ab51d4a5b2c0fcac0136c272ce506d392d07429396ffd65f5,draft,yes_after_review,Reviewer-response memo for position-note hardening.
walkthrough/in_a_grove_v0_1/README.md,v0_2,2026-07-01T07:20:00+00:00,e0062b6a6a6dd7b0d708b4bbac95e87b13dd68347daf6e36cc26fa8228e56f63,draft,yes_after_review,Walkthrough overview.
walkthrough/in_a_grove_v0_1/ai_independent_record.csv,v0_2,2026-07-01T07:20:00+00:00,6056908cbbce43e66b85c7fff35e23031faccbf3bf84d03d0d15d4d19e94f46b,frozen,yes_after_review,Independent model record; not a truth verdict.
walkthrough/in_a_grove_v0_1/ai_raw_output.txt,v0_2,2026-07-01T07:20:00+00:00,343b9858e3fc9c89840be68542e2ad1aa8b389f8841a86db9c9ceaec48a149a2,frozen,provider_terms_review_required,Exact model output; reproduction terms require review.
walkthrough/in_a_grove_v0_1/annotation_instructions.md,v0_2,2026-07-01T07:20:00+00:00,b31cfe5e71d5db8ff1fcfbd0de72620865e84bc60dc258d8c60ef98e0fb26109,draft,yes_after_review,Local label and mechanism guide.
walkthrough/in_a_grove_v0_1/author_analytic_record.csv,v0_2,2026-07-01T07:20:00+00:00,8155a280880f9fda1035f1b3790f7dbd2932db0b07de940bf9c023cb3ab86871,locked,yes_after_review,Researcher-produced analytic demonstration; not human-subject data and not a gold standard.
walkthrough/in_a_grove_v0_1/author_lock_manifest.csv,v0_2,2026-07-01T07:20:00+00:00,9e445af85b26142a47b361c8b0525b7f406a4fed00fbffd8333e7981c1cf8b3a,locked,yes_after_review,Generated with TRIM-HAA locking utilities.
walkthrough/in_a_grove_v0_1/legal_and_translation_review.md,v0_2,2026-07-01T07:20:00+00:00,c4da7e65adfce49a50ec7e7ce3ba5032665c9db3fc8f812ee9d5f28d2628de05,legal_review_required,yes_after_review,Copyright blockers.
walkthrough/in_a_grove_v0_1/model_run_manifest.csv,v0_2,2026-07-01T07:20:00+00:00,c568d619272ff9163d39afa97ac668206ce38bb65a35f6aa70e315bb82838cba,frozen,development_artifact_only,Model-run provenance; locally auditable but not externally reproducible from recorded metadata alone.
walkthrough/in_a_grove_v0_1/outputs/alternative_comparison.csv,v0_2,2026-07-01T07:20:00+00:00,993502ffd2b59316b8f259745bdfd78d2132cb6661fe886ae5459c2b53d959cb,generated,yes_after_review,Alternative-pathway comparison.
walkthrough/in_a_grove_v0_1/outputs/candidate_certainty_alternative_mismatch.md,v0_2,2026-07-01T07:20:00+00:00,5cb533438060fc48bc5b81e3e4639698839391127d3f1d48116c2101df50d35f,generated,yes_after_review,Author-defined review-question display; no truth verdict.
walkthrough/in_a_grove_v0_1/outputs/evidence_comparison.csv,v0_2,2026-07-01T07:20:00+00:00,b5177fbe3e04bbb709add702f55695b8a308fff7c27456951250e7c299953a0b,generated,yes_after_review,Evidence overlap metrics.
walkthrough/in_a_grove_v0_1/outputs/execution_summary.md,v0_2,2026-07-01T07:20:00+00:00,8e0946ca162d03703336f71bb782e14f70e0bc777555b62835e6bb38767568a2,generated,yes_after_review,Deterministic run summary.
walkthrough/in_a_grove_v0_1/outputs/field_comparison.csv,v0_2,2026-07-01T07:20:00+00:00,13bfe070cc9778f5d17a446371b45757b5c051b58b4bf96cd7ddcfe1a54ad489,generated,yes_after_review,Field-by-field comparison.
walkthrough/in_a_grove_v0_1/outputs/lock_verification_report.csv,v0_2,2026-07-01T07:20:00+00:00,bb70f79855be5deb9b6b94fee8fcc511b61efe8b0425d64df7a3b156b23c8a95,generated,yes_after_review,Author lock verification.
walkthrough/in_a_grove_v0_1/outputs/validation_report.csv,v0_2,2026-07-01T07:20:00+00:00,73a3c3ddc158214e6a5aa0947339ecf736ff8cb6f6bb038c447bbc790cd9ab3d,generated,yes_after_review,Core validation output.
walkthrough/in_a_grove_v0_1/prompt_manifest.csv,v0_2,2026-07-01T07:20:00+00:00,dbf25afca29ff77b2a153aaeae0f75d448680c7c89650e32e9f86cada18df3d8,frozen,yes_after_review,Prompt hash manifest.
walkthrough/in_a_grove_v0_1/prompts/in_a_grove_trim_haa_v0_1.txt,v0_2,2026-07-01T07:20:00+00:00,74af647ec15697e99bd87ee4c4fdbfecfd402ff09cc76dc8acf55e3bf856e8f5,frozen,yes_after_review,Prompt contains no secrets.
walkthrough/in_a_grove_v0_1/source_packet.md,v0_2,2026-07-01T07:20:00+00:00,da06122f3f4e36c05184f4437630e71dde10550a4733ecb57dd780e5c21177bf,legal_review_required,no,Translation status unresolved.
walkthrough/in_a_grove_v0_1/source_provenance.md,v0_2,2026-07-01T07:20:00+00:00,9f306211720e21cdfae08f59a36239751a175ecdf73da0180f5ed8cb6a1b13b1,draft,yes_after_review,Source provenance and URLs.
walkthrough/in_a_grove_v0_1/source_segments.csv,v0_2,2026-07-01T07:20:00+00:00,b17162552ecaaefff8dcc344ec8e5963b5f56199a85f9982ea4826ca7395220e,legal_review_required,no,Contains translated excerpt segments.
